avg_costX,avg_costZ,distance,p,rounds,seed,success
0.0,0.0,3,0.0001,5,487284116,1
0.0,0.0,3,0.0001,5,1212254290,1
0.0,0.0,3,0.0001,5,1438414599,1
0.0,0.0,3,0.0001,5,2019291964,1
0.0,0.0,3,0.0001,5,938776596,1
0.0,0.0,3,0.0001,5,345075200,1
0.0,0.0,3,0.0001,5,1788162809,1
0.0,0.0,3,0.0001,5,1352408538,1
0.0,0.0,3,0.0001,5,1503807854,1
0.0,0.0,3,0.0001,5,208792607,1
0.0,0.0,3,0.0001,5,670802254,1
0.0,0.0,3,0.0001,5,1648932249,1
0.0,0.0,3,0.0001,5,1787264313,1
0.0,0.0,3,0.0001,5,934620676,1
0.0,0.0,3,0.0001,5,1728218297,1
0.0,0.0,3,0.0001,5,1807519524,1
0.0,0.0,3,0.0001,5,832103482,1
0.0,0.0,3,0.0001,5,1928628490,1
0.0,0.0,3,0.0001,5,619179887,1
0.0,0.0,3,0.0001,5,514446424,1
0.0,0.0,3,0.0001,5,1465647933,1
0.0,0.0,3,0.0001,5,1367435607,1
0.0,0.0,3,0.0001,5,300116172,1
0.0,0.0,3,0.0001,5,1788288545,1
0.0,0.0,3,0.0001,5,429299595,1
0.0,0.0,3,0.0001,5,1728507682,1
0.0,0.0,3,0.0001,5,15810353,1
0.0,0.0,3,0.0001,5,1711206423,1
0.0,0.0,3,0.0001,5,1689907231,1
0.0,0.0,3,0.0001,5,1675819612,1
0.0,0.0,3,0.0001,5,1427756341,1
0.0,0.0,3,0.0001,5,1012682731,1
0.0,0.0,3,0.0001,5,1514331118,1
0.0,0.0,3,0.0001,5,595114158,1
0.0,0.0,3,0.0001,5,1676602826,1
0.0,0.0,3,0.0001,5,1193242761,1
0.0,0.0,3,0.0001,5,985514123,1
0.0,0.0,3,0.0001,5,1085781155,1
0.0,0.0,3,0.0001,5,1221362417,1
0.0,0.0,3,0.0001,5,80020205,1
0.0,0.0,3,0.0001,5,300211767,1
0.0,0.0,3,0.0001,5,527166790,1
0.0,0.0,3,0.0001,5,245951459,1
0.0,0.0,3,0.0001,5,944062962,1
0.0,0.0,3,0.0001,5,1435384429,1
9.21024036697585,0.0,3,0.0001,5,1405375274,1
0.0,0.0,3,0.0001,5,1011671398,1
0.0,0.0,3,0.0001,5,1836270333,1
0.0,0.0,3,0.0001,5,1213835294,1
0.0,0.0,3,0.0001,5,170075129,1
0.0,0.0,3,0.0001,5,1642822536,1
0.0,0.0,3,0.0001,5,1233945442,1
0.0,0.0,3,0.0001,5,1363047212,1
0.0,0.0,3,0.0001,5,1214129970,1
0.0,0.0,3,0.0001,5,1188802709,1
0.0,0.0,3,0.0001,5,194489917,1
0.0,0.0,3,0.0001,5,1200888232,1
0.0,0.0,3,0.0001,5,1707061844,1
0.0,0.0,3,0.0001,5,652727864,1
0.0,0.0,3,0.0001,5,1294585270,1
0.0,0.0,3,0.0001,5,66180795,1
0.0,0.0,3,0.0001,5,746248853,1
0.0,0.0,3,0.0001,5,937843451,1
0.0,0.0,3,0.0001,5,2110414630,1
0.0,0.0,3,0.0001,5,460817075,1
0.0,0.0,3,0.0001,5,593883018,1
0.0,0.0,3,0.0001,5,877308581,1
0.0,0.0,3,0.0001,5,2131733183,1
0.0,0.0,3,0.0001,5,1832669143,1
0.0,0.0,3,0.0001,5,74502574,1
0.0,0.0,3,0.0001,5,502381220,1
